시군명,기준년월,월별카드발행수량(건),월별카드충전액(천원),월별카드사용액(천원),월별모바일상품권이용등록자수(명),월별모바일충전액(천원),월별모바일사용액(천원),월별지류상품권판매액(천원),월별지류상품권회수액(천원)
가평군,2022-06,572,2771279,2681386,,,,350130,266475
가평군,2022-05,627,2784295,2810484,,,,213080,133195
가평군,2022-04,641,2585608,2600843,,,,130194,117225
가평군,2022-03,481,2393457,2418270,,,,120715,127420
가평군,2022-02,427,2063838,1920192,,,,111400,140825
가평군,2022-01,508,2231347,2236009,,,,144510,148380
가평군,2021-12,720,2217684,2080642,,,,186150,561510
가평군,2021-11,1298,2028329,1738929,,,,124950,235795
가평군,2021-10,1399,1246495,1228840,,,,462260,10390
가평군,2021-09,1510,1588997,1664223,,,,263800,141150
가평군,2021-08,618,1588997,1664223,,,,116930,118595
가평군,2021-07,735,1588997,1664223,,,,112795,207475
가평군,2021-06,1667,1822772,1754161,,,,225510,215025
가평군,2021-05,614,1402675,1365784,,,,216605,120370
가평군,2021-04,991,1436820,1305523,,,,128310,129925
가평군,2021-03,1084,912711,805968,,,,115630,129415
가평군,2021-02,1809,912711,805968,,,,143740,138405
가평군,2021-01,598,992759,1011708,,,,120450,145020
가평군,2020-12,579,1177615,1121896,,,,190105,158030
가평군,2020-11,524,1014259,991877,,,,141540,602190
가평군,2020-10,550,921618,952087,,,,473815,469705
가평군,2020-09,862,1052610,964030,,,,356960,138150
가평군,2020-08,312,597319,661956,,,,92435,102910
가평군,2020-07,533,676234,732454,,,,115400,113895
가평군,2020-06,398,616944,518214,,,,110545,107060
가평군,2020-05,3425,713833,642870,,,,109725,101875
가평군,2020-04,6835,639698,477477,,,,116330,105960
가평군,2020-03,655,389311,297771,,,,125240,118550
가평군,2020-02,211,180458,230384,,,,70190,95570
가평군,2020-01,338,288742,247582,,,,161750,121040
가평군,2019-12,289,247214,201657,,,,101395,84750
가평군,2019-11,179,139483,188567,,,,110105,76155
가평군,2019-10,325,257462,212087,,,,18465,87160
가평군,2019-09,428,233151,172358,,,,159965,116495
가평군,2019-08,272,100956,138322,,,,65975,61785
가평군,2019-07,389,207542,113448,,,,54695,81375
가평군,2019-06,238,84932,75007,,,,63805,59540
가평군,2019-05,506,109979,59447,,,,73435,96675
가평군,2019-04,87,8870,2187,,,,64575,93815
가평군,2019-03,1,,,,,,120915,129565
가평군,2019-02,,,,,,,95445,129565
가평군,2019-01,,,,,,,153685,114460
고양시,2022-06,6203,32092510,24757007,,,,,
고양시,2022-05,5984,23866863,25809838,,,,,
고양시,2022-04,6159,26050438,24929350,,,,,
고양시,2022-03,4939,24939125,24047543,,,,,
고양시,2022-02,6016,21257338,20602720,,,,,
고양시,2022-01,6621,22668503,23750970,,,,,
고양시,2021-12,9234,22992338,22803618,,,,,
고양시,2021-11,19372,27417988,18367231,,,,,
고양시,2021-10,15312,8916808,9264285,,,,,
고양시,2021-09,12099,12641746,19930722,,,,,
고양시,2021-08,8878,12641746,19930722,,,,,
고양시,2021-07,9414,12641746,19930722,,,,,
고양시,2021-06,42692,32240336,30107447,,,,,
고양시,2021-05,10276,23026400,23133774,,,,,
고양시,2021-04,15857,24135989,21475052,,,,,
고양시,2021-03,18749,17652128,13760292,,,,,
고양시,2021-02,24208,17652128,13760292,,,,,
고양시,2021-01,15728,15152425,15299152,,,,,
고양시,2020-12,7511,8159264,13731511,,,,,
고양시,2020-11,10341,21892388,21763372,,,,,
고양시,2020-10,10941,18871423,22812605,,,,,
고양시,2020-09,20944,25220665,21980525,,,,,
고양시,2020-08,7545,22718749,16103409,,,,,
고양시,2020-07,16520,10801299,14345199,,,,,
고양시,2020-06,7044,7521775,13476552,,,,,
고양시,2020-05,60602,24391234,14063170,,,,,
고양시,2020-04,113877,10835285,8742604,,,,,
고양시,2020-03,10166,8183828,6663098,,,,,
고양시,2020-02,5041,6134958,5866688,,,,,
고양시,2020-01,6758,9669657,6403636,,,,,
고양시,2019-12,6994,9138695,5652073,,,,,
고양시,2019-11,3448,2397604,4583013,,,,,
고양시,2019-10,5024,4542746,4017911,,,,,
고양시,2019-09,5421,6220822,4437004,,,,,
고양시,2019-08,8535,6035427,4859241,,,,,
고양시,2019-07,11964,6565309,2688638,,,,,
고양시,2019-06,4368,1094818,1478659,,,,,
고양시,2019-05,13077,3133495,1021417,,,,,
고양시,2019-04,76,9255,1370,,,,,
고양시,2019-03,,,,,,,,
고양시,2019-02,,,,,,,,
고양시,2019-01,,,,,,,,
과천시,2022-06,975,2946328,3409087,,,,149540,179815
과천시,2022-05,1088,4187919,4095146,,,,168195,215240
과천시,2022-04,1083,4452047,3387418,,,,166340,180350
과천시,2022-03,1030,2665862,2957010,,,,144950,202740
